epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2095,2.70266,3.32618,4.79524,2.234,0.00145,0.07241,0.00079,0.00031,0.0011,0.05479,0.0006,0.00017,2.38376,5.07093,4.50654,2.36628,0.00323529,0.00323529,0.00323529
2,19.7275,2.32401,2.37341,3.8838,1.87869,0.00145,0.07241,0.00082,0.00046,0.00118,0.05871,0.00067,0.00021,2.17404,2.64314,4.32153,2.21252,0.00656538,0.00656538,0.00656538
3,27.6805,2.1852,2.43515,3.49373,1.80138,0.00306,0.15264,0.00324,0.00181,0.00267,0.13307,0.003,0.00139,1.99911,2.33887,3.97237,2.01429,0.00989216,0.00989216,0.00989216
4,35.5985,2.04505,2.19044,3.21404,1.72504,0.24084,0.0998,0.13533,0.08533,0.22632,0.09045,0.12462,0.07106,1.77065,1.97672,3.06381,1.89946,0.00998515,0.00998515,0.00998515
5,43.558,2.06614,2.19649,2.94874,1.67496,0.27584,0.22363,0.1573,0.08935,0.26314,0.21135,0.14613,0.07992,1.76781,2.16871,2.76304,1.8557,0.0099802,0.0099802,0.0099802
6,51.406,2.01255,2.14271,2.75907,1.69287,0.27362,0.22309,0.17176,0.10315,0.26642,0.21722,0.16674,0.08426,1.75267,1.87393,2.76922,1.84008,0.00997525,0.00997525,0.00997525
7,59.15,1.97276,2.04108,2.67119,1.64966,0.2823,0.24658,0.19262,0.11218,0.25169,0.22309,0.17093,0.10115,1.63128,1.82962,2.22523,1.74244,0.0099703,0.0099703,0.0099703
8,66.923,2.00012,2.02834,2.54708,1.70269,0.34018,0.22701,0.21859,0.13309,0.33139,0.22114,0.20777,0.12054,1.65895,1.73669,2.12543,1.74378,0.00996535,0.00996535,0.00996535
9,74.879,1.92969,1.93398,2.37823,1.64254,0.4152,0.22896,0.22445,0.13419,0.39391,0.21722,0.21041,0.12472,1.61167,1.743,2.13464,1.75016,0.0099604,0.0099604,0.0099604
10,82.927,1.86941,1.92083,2.36171,1.6298,0.45911,0.26419,0.27591,0.16193,0.45571,0.26223,0.26171,0.14863,1.58318,1.76019,2.03652,1.70146,0.00995545,0.00995545,0.00995545
11,91.168,1.90078,1.89809,2.31076,1.61689,0.6623,0.31472,0.31927,0.20195,0.64532,0.30724,0.31077,0.17963,1.71163,1.72457,1.9595,1.75929,0.0099505,0.0099505,0.0099505
12,99.329,1.84681,1.81157,2.20724,1.59811,0.55056,0.25049,0.28165,0.19032,0.54196,0.24658,0.27156,0.15696,1.63656,1.66442,1.99479,1.71061,0.00994555,0.00994555,0.00994555
13,107.518,1.91625,1.90895,2.22804,1.61665,0.61822,0.24658,0.31278,0.18359,0.62652,0.2407,0.29748,0.15402,1.65966,1.74406,1.93001,1.72157,0.0099406,0.0099406,0.0099406
14,115.803,1.86765,1.94435,2.17733,1.57259,0.51172,0.2818,0.335,0.19854,0.51273,0.27789,0.32869,0.17583,1.60865,1.64747,1.93382,1.70172,0.00993565,0.00993565,0.00993565
15,123.881,1.8249,1.86689,2.14081,1.57106,0.73563,0.25594,0.33903,0.21388,0.72438,0.25202,0.32049,0.1773,1.49482,1.68202,1.74921,1.622,0.0099307,0.0099307,0.0099307
16,132.08,1.81219,1.87652,2.08905,1.58013,0.65805,0.27868,0.35969,0.23191,0.63473,0.27006,0.33692,0.19763,1.53421,1.68225,1.77212,1.64175,0.00992575,0.00992575,0.00992575
17,140.174,1.8122,1.85083,2.10696,1.57102,0.81037,0.23417,0.33114,0.20881,0.79683,0.23025,0.31801,0.17316,1.70731,1.68243,2.00362,1.74216,0.0099208,0.0099208,0.0099208
18,148.664,1.76745,1.81253,2.04691,1.5355,0.85394,0.2407,0.33176,0.20629,0.82617,0.23288,0.31878,0.19623,1.6567,1.57026,1.90128,1.70997,0.00991585,0.00991585,0.00991585
19,157.044,1.80726,1.8512,2.03626,1.5533,0.73613,0.25832,0.3352,0.23054,0.71179,0.25049,0.32257,0.20417,1.49093,1.59222,1.9482,1.61716,0.0099109,0.0099109,0.0099109
20,165.283,1.68108,1.68905,1.94855,1.52427,0.70396,0.27006,0.36062,0.21928,0.68356,0.26223,0.34134,0.19313,1.5673,1.61286,1.96347,1.65622,0.00990595,0.00990595,0.00990595
21,173.832,1.7496,1.75342,1.97011,1.51366,0.85456,0.25049,0.36889,0.20848,0.7302,0.2544,0.35548,0.21814,1.52832,1.57552,1.8453,1.62043,0.009901,0.009901,0.009901
22,182.137,1.75413,1.73903,2.02092,1.52858,0.80489,0.24266,0.35146,0.22308,0.8143,0.23288,0.32937,0.20286,1.51531,1.62325,1.86926,1.60519,0.00989605,0.00989605,0.00989605
